STT,Data type,api,class,function,times,desciption,Sub-Data type
1,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,A2DP,9354,A2DP profile.,Bluetooth
2,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,EXTRA_PREVIOUS_STATE,9354,Extra for the connection state intents of the individual profiles.,Bluetooth
3,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,EXTRA_STATE,9354,Extra for the connection state intents of the individual profiles.,Bluetooth
4,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,GATT,9354,GATT,Bluetooth
5,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,GATT_SERVER,9354,GATT_SERVER,Bluetooth
6,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEADSET,9354,Headset and Handsfree profile,Bluetooth
7,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEALTH,9354,"This constant was deprecated in API level 29. Health Device Profile (HDP) and MCAP protocol are no longer used. New apps should use Bluetooth Low Energy based solutions such as BluetoothGatt, BluetoothAdapter#listenUsingL2capChannel(), or BluetoothDevice#createL2capChannel(int)",Bluetooth
8,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEARING_AID,9354,Hearing Aid Device,Bluetooth
9,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HID_DEVICE,9354,HID Device,Bluetooth
10,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,SAP,9354,STATE_CONNECTED,Bluetooth
11,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_CONNECTING,9354,The profile is in connecting state,Bluetooth
12,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_DISCONNECTED,9354,The profile is in disconnected state,Bluetooth
13,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_DISCONNECTING,9354,The profile is in disconnecting state,Bluetooth
14,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,getConnectedDevices(),9354,Get connected devices for this specific profile.,Bluetooth
