STT,User Id,Number of questions
1,619d298ace31879b3f31926a,56
2,619d299dce31879b3f42f6d1,4
3,619d29afce31879b3f5a445a,71
4,619d29c4ce31879b3f6ce954,35
5,619d2a53ce31879b3f2078e0,82
6,619d2a6bce31879b3f36414f,127
7,619d2aa7ce31879b3f7122f1,12
8,619d2aaece31879b3f790a51,75
9,619d2aebce31879b3fb1280d,32
10,619d2af9ce31879b3fbf44a1,62
11,619d2b12ce31879b3fd7c76f,60
12,619d2b25ce31879b3fe8dca5,166
13,619d2b83ce31879b3f41a782,47
14,619d2ba3ce31879b3f6296b7,64
15,619d2bb9ce31879b3f76b66f,84
16,619d2bd4ce31879b3f8d40a2,87
17,619d2beece31879b3fa45c38,6
18,619d2bf8ce31879b3faf173b,18
19,619d2bffce31879b3fb75ce0,54
20,619d2c3bce31879b3fee8ce7,63
21,619d2c67ce31879b3f185f1a,78
22,619d2c97ce31879b3f4397d3,37
23,619d2ca4ce31879b3f4f1f28,104
24,619d2cd2ce31879b3f80bc7d,36
25,619d2ceace31879b3f967675,68
