STT,User Id,Number of questions
1,619d299dce31879b3f42f6d1,3
2,619d29c4ce31879b3f6ce954,29
3,619d2a53ce31879b3f2078e0,77
4,619d2a6bce31879b3f36414f,130
5,619d2a9ace31879b3f621356,1
6,619d2aaece31879b3f790a51,67
7,619d2adace31879b3fa14f6a,52
8,619d2aebce31879b3fb1280d,33
9,619d2b25ce31879b3fe8dca5,135
10,619d2b83ce31879b3f41a782,32
11,619d2bb9ce31879b3f76b66f,79
12,619d2bd4ce31879b3f8d40a2,82
13,619d2beece31879b3fa45c38,26
14,619d2bf8ce31879b3faf173b,16
15,619d2c67ce31879b3f185f1a,71
16,619d2c7fce31879b3f2d9117,77
17,619d2ca4ce31879b3f4f1f28,57
18,619d2ceace31879b3f967675,61
