STT,User Id,Number of questions
1,619d298ace31879b3f31926a,61
2,619d299dce31879b3f42f6d1,9
3,619d29afce31879b3f5a445a,79
4,619d29c4ce31879b3f6ce954,42
5,619d2a53ce31879b3f2078e0,83
6,619d2a6bce31879b3f36414f,158
7,619d2aa7ce31879b3f7122f1,20
8,619d2aaece31879b3f790a51,80
9,619d2aebce31879b3fb1280d,33
10,619d2af9ce31879b3fbf44a1,67
11,619d2b25ce31879b3fe8dca5,180
12,619d2b83ce31879b3f41a782,55
13,619d2bb9ce31879b3f76b66f,86
14,619d2bd4ce31879b3f8d40a2,89
15,619d2beece31879b3fa45c38,29
16,619d2bf8ce31879b3faf173b,19
17,619d2c16ce31879b3fcc9037,119
18,619d2c3bce31879b3fee8ce7,77
19,619d2c54ce31879b3f03ec2b,46
20,619d2c67ce31879b3f185f1a,80
21,619d2c97ce31879b3f4397d3,37
22,619d2ca4ce31879b3f4f1f28,38
23,619d2cd2ce31879b3f80bc7d,75
