STT,User Id,Number of questions
1,619d2977ce31879b3f1fa386,50050
2,619d298ace31879b3f31926a,46827
3,619d299dce31879b3f42f6d1,81310
4,619d29afce31879b3f5a445a,42382
5,619d29c4ce31879b3f6ce954,15320
6,619d29cfce31879b3f76face,849352
7,619d2a53ce31879b3f2078e0,68652
8,619d2a6bce31879b3f36414f,104576
9,619d2a9ace31879b3f621356,30915
10,619d2aa2ce31879b3f6b2a34,15878
11,619d2aa7ce31879b3f7122f1,14879
12,619d2aaece31879b3f790a51,71900
13,619d2ac5ce31879b3f8de9be,48822
14,619d2adace31879b3fa14f6a,40599
15,619d2aebce31879b3fb1280d,33513
16,619d2af9ce31879b3fbf44a1,47773
17,619d2b0dce31879b3fd1ad7c,17954
18,619d2b12ce31879b3fd7c76f,41013
19,619d2b25ce31879b3fe8dca5,191983
20,619d2b65ce31879b3f24de4d,30171
21,619d2b71ce31879b3f3123fb,52385
22,619d2b83ce31879b3f41a782,44681
23,619d2b95ce31879b3f526906,60773
24,619d2ba3ce31879b3f6296b7,49292
25,619d2bb9ce31879b3f76b66f,67935
26,619d2bd4ce31879b3f8d40a2,73574
27,619d2beece31879b3fa45c38,25987
28,619d2bf8ce31879b3faf173b,19858
29,619d2bffce31879b3fb75ce0,74720
30,619d2c16ce31879b3fcc9037,67910
31,619d2c3bce31879b3fee8ce7,55595
32,619d2c54ce31879b3f03ec2b,47977
33,619d2c67ce31879b3f185f1a,60049
34,619d2c7fce31879b3f2d9117,53887
35,619d2c97ce31879b3f4397d3,17524
36,619d2ca4ce31879b3f4f1f28,137464
37,619d2cd2ce31879b3f80bc7d,81158
38,619d2ceace31879b3f967675,44832
